StateAbbr,StateDesc,CountyName,CountyFIPS,TotalPopulation,DIABETES_CrudePrev,OBESITY_CrudePrev,ACCESS2_CrudePrev,CSMOKING_CrudePrev,FOODINSECU_CrudePrev,Geolocation
MS,Mississippi,Leake,28079,21258,17.0,42.8,13.6,19.3,26.3,POINT (-89.5239889409247 32.7536024610201)
VA,Virginia,Bristol,51520,16807,14.8,39.2,9.6,17.2,15.6,POINT (-82.1622447175449 36.6169462478962)
TX,Texas,Hardeman,48197,3490,15.2,37.6,17.5,15.8,,POINT (-99.7457296802433 34.2902903445807)
ND,North Dakota,Benson,38005,5745,15.4,43.3,9.8,22.0,23.5,POINT (-99.3657508558668 48.069371377325)
UT,Utah,Box Elder,49003,62684,9.3,32.6,10.3,9.8,12.6,POINT (-113.082107285331 41.5209589223232)
GA,Georgia,Ware,13299,36243,16.8,41.3,16.4,19.6,24.6,POINT (-82.4236222762369 31.0547069599296)
ND,North Dakota,McLean,38055,9832,12.1,40.2,6.6,13.6,9.1,POINT (-101.321970767791 47.6070012811029)
AK,Alaska,Kodiak Island,2150,12565,9.8,31.5,10.5,15.0,14.7,POINT (-153.789812278338 57.6808874751479)
IN,Indiana,Delaware,18035,112321,13.5,36.6,8.3,16.8,16.4,POINT (-85.3968769812267 40.2275345893972)
CA,California,Napa,6055,133216,11.4,27.9,9.7,10.4,13.9,POINT (-122.330692396629 38.5067022702407)
LA,Louisiana,St. James,22093,19191,16.5,43.7,7.8,16.5,21.5,POINT (-90.792998137832 30.026880112286)
MT,Montana,Flathead,30029,113679,9.3,31.2,9.0,12.8,10.1,POINT (-114.049221286794 48.2950545655515)
SD,South Dakota,Stanley,46117,3043,11.1,35.2,7.1,13.4,,POINT (-100.735860132134 44.4124120835504)
IA,Iowa,Buchanan,19019,20691,11.1,37.6,6.4,15.3,10.4,POINT (-91.8374750492687 42.4709698505337)
CO,Colorado,Montezuma,8083,26531,11.8,28.4,10.8,14.7,,POINT (-108.5965947187 37.3388455453748)
TX,Texas,Dickens,48125,1711,16.7,37.5,18.7,15.1,,POINT (-100.77888550046 33.6161682203938)
LA,Louisiana,Allen,22003,22112,15.3,44.2,11.7,21.7,26.4,POINT (-92.8282364115945 30.6527548508191)
NC,North Carolina,Caswell,37033,22807,15.5,39.3,11.8,16.9,19.1,POINT (-79.333539673756 36.393167608535)
ND,North Dakota,Divide,38023,2135,12.6,37.4,7.6,14.1,10.4,POINT (-103.487209803816 48.8149695350934)
OK,Oklahoma,Carter,40019,48596,13.7,39.7,11.1,18.0,19.5,POINT (-97.2858375656003 34.2509159186175)
VA,Virginia,Hampton,51650,137098,15.0,40.3,9.7,14.1,19.5,POINT (-76.3626578757798 37.0558810818872)
OH,Ohio,Tuscarawas,39157,91874,13.6,43.4,9.1,17.5,14.3,POINT (-81.4739039664201 40.4409826688981)
OR,Oregon,Deschutes,41017,208513,10.2,27.2,6.8,10.6,,POINT (-121.227947893001 43.9148299481706)
LA,Louisiana,East Feliciana,22037,19229,16.1,42.2,8.8,18.3,22.2,POINT (-91.0454117732929 30.845210865263)
AR,Arkansas,Lincoln,5079,12898,13.8,42.6,14.7,19.9,24.6,POINT (-91.7344327594591 33.9569870088292)
SD,South Dakota,Charles Mix,46023,9240,15.3,40.4,10.3,20.4,,POINT (-98.5876522699793 43.2078241837757)
CO,Colorado,Saguache,8109,6688,15.1,29.1,15.8,14.6,,POINT (-106.281125358106 38.080485475829)
MN,Minnesota,Kanabec,27065,16602,12.8,37.6,8.5,17.8,13.6,POINT (-93.2932520851074 45.945210887007)
IL,Illinois,Edwards,17047,5968,14.1,40.3,8.3,17.3,15.5,POINT (-88.053269013281 38.415936548251)
MT,Montana,Roosevelt,30085,10319,14.1,41.0,12.9,23.4,27.9,POINT (-105.016582771659 48.2944953989966)
OH,Ohio,Morgan,39115,13646,16.0,41.1,8.8,19.5,15.5,POINT (-81.8538156975972 39.6205109466093)
IN,Indiana,Montgomery,18107,38573,13.5,39.2,9.1,17.5,14.6,POINT (-86.8933418094608 40.0403856714469)
MO,Missouri,Crawford,29055,22719,14.1,41.9,10.2,20.3,15.4,POINT (-91.3041232404893 37.9765122409823)
NH,New Hampshire,Strafford,33017,133243,8.6,32.4,6.7,10.7,10.0,POINT (-71.0288452054873 43.296922710922)
TN,Tennessee,Van Buren,47175,6493,16.0,39.2,12.3,21.1,,POINT (-85.4530835156468 35.6957079836942)
TX,Texas,Mason,48319,3931,14.4,33.5,14.4,11.5,,POINT (-99.2261459590745 30.717708287216)
GA,Georgia,Franklin,13119,24782,14.7,39.0,14.1,17.9,18.7,POINT (-83.2291794412893 34.3756736821183)
CT,Connecticut,South Central Connecticut,9170,568158,10.4,33.4,10.1,10.8,15.7,POINT (-72.8438185185228 41.3613093948936)
NE,Nebraska,Pierce,31139,7299,10.9,38.9,7.9,13.7,10.1,POINT (-97.6012319722309 42.2643702035229)
MI,Michigan,Luce,26095,6435,14.1,40.9,8.2,18.1,17.8,POINT (-85.5444333572928 46.4705577788909)
MO,Missouri,Ste. Genevieve,29186,18642,12.5,37.2,8.4,17.1,12.1,POINT (-90.1945976236472 37.8943240271323)
NC,North Carolina,Northampton,37131,16715,20.3,42.7,11.7,17.2,23.9,POINT (-77.3963332385957 36.4178811426774)
SD,South Dakota,Edmunds,46045,4057,12.4,33.7,7.6,14.7,,POINT (-99.2153509873783 45.4186211046117)
NE,Nebraska,Dawes,31045,8133,10.6,35.5,7.8,12.3,11.2,POINT (-103.135412749731 42.7200608375704)
OK,Oklahoma,Ellis,40045,3648,14.1,39.6,10.6,16.4,15.1,POINT (-99.7547202594407 36.2183250916209)
